"purl","group_id","artifact_id","git_url"
"pkg:maven/io.fabric8/openshift-client","io.fabric8","openshift-client","https://github.com/fabric8io/kubernetes-client"
"pkg:maven/org.dspace/dspace-oai","org.dspace","dspace-oai","https://github.com/DSpace/DSpace"
"pkg:maven/org.dspace/dspace-rdf","org.dspace","dspace-rdf","https://github.com/DSpace/DSpace"
"pkg:maven/org.jclouds/jclouds-allcompute","org.jclouds","jclouds-allcompute","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.api/ec2","org.jclouds.api","ec2","https://github.com/jclouds/jclouds"
"pkg:maven/com.bugvm/bugvm-soot","com.bugvm","bugvm-soot","https://github.com/bugvm/bugvm"
"pkg:maven/com.jcabi/jcabi-aspects","com.jcabi","jcabi-aspects","https://github.com/jcabi/jcabi-aspects"
"pkg:maven/org.dspace/dspace-api","org.dspace","dspace-api","https://github.com/DSpace/DSpace"
"pkg:maven/org.jclouds/jclouds-loadbalancer","org.jclouds","jclouds-loadbalancer","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.api/openstack-keystone","org.jclouds.api","openstack-keystone","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.api/openstack-nova","org.jclouds.api","openstack-nova","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.driver/jclouds-jsch","org.jclouds.driver","jclouds-jsch","https://github.com/jclouds/jclouds"
"pkg:maven/com.bugvm/bugvm-objc","com.bugvm","bugvm-objc","https://github.com/bugvm/bugvm"
"pkg:maven/org.dspace/dspace-lni-client","org.dspace","dspace-lni-client","https://github.com/DSpace/DSpace"
"pkg:maven/org.jclouds.api/sts","org.jclouds.api","sts","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.provider/aws-cloudwatch","org.jclouds.provider","aws-cloudwatch","https://github.com/jclouds/jclouds"
"pkg:maven/com.sachinhandiekar/jInstagram","com.sachinhandiekar","jInstagram","https://github.com/sachin-handiekar/jInstagram"
"pkg:maven/org.jclouds.provider/rackspace-cloudservers-us","org.jclouds.provider","rackspace-cloudservers-us","https://github.com/jclouds/jclouds"
"pkg:maven/org.javers/javers-core","org.javers","javers-core","https://github.com/javers/javers"
"pkg:maven/com.esri.geometry/esri-geometry-api","com.esri.geometry","esri-geometry-api","https://github.com/Esri/geometry-api-java"
"pkg:maven/org.cassandraunit/cassandra-unit","org.cassandraunit","cassandra-unit","https://github.com/jsevellec/cassandra-unit"
"pkg:maven/com.gwtplatform/gwtp-crawler-service","com.gwtplatform","gwtp-crawler-service","https://github.com/ArcBees/GWTP"
